Date Rated,Track Rating,Artist(s),Title,Preview Link
3/21/20,4 Stars (Massive),Degs,Poveglia,<a href='https://youtube.com/embed/?listType=search&list=Degs%20Poveglia'>Play</a>
3/21/20,4 Stars (Massive),Hugh Hardie,Fireflies,<a href='https://youtube.com/embed/?listType=search&list=Hugh%20Hardie%20Fireflies'>Play</a>
3/21/20,4 Stars (Massive),Kanine,Figure It Out (feat. Anna Rickards),<a href='https://youtube.com/embed/?listType=search&list=Kanine%20Figure%20It%20Out%20(feat.%20Anna%20Rickards)'>Play</a>
3/21/20,3 Stars (Fresh),Dan Guidance,When You're Around,<a href='https://youtube.com/embed/?listType=search&list=Dan%20Guidance%20When%20You%27re%20Around'>Play</a>
3/17/20,3 Stars (Fresh),Low_r,Empath,<a href='https://youtube.com/embed/?listType=search&list=Low_r%20Empath'>Play</a>
3/14/20,3 Stars (Fresh),Jonny L,In A Jungle (BCee Remix),<a href='https://youtube.com/embed/?listType=search&list=Jonny%20L%20In%20A%20Jungle%20(BCee%20Remix)'>Play</a>
3/14/20,3 Stars (Fresh),"Logistics, Thomas Oliver",Stay True,<a href='https://youtube.com/embed/?listType=search&list=Logistics%20%20Thomas%20Oliver%20Stay%20True'>Play</a>
3/14/20,3 Stars (Fresh),"Melinki, Demure",Come with Us,<a href='https://youtube.com/embed/?listType=search&list=Melinki%20%20Demure%20Come%20with%20Us'>Play</a>
3/14/20,3 Stars (Fresh),Nymfo feat. Martyn,What's Happening,<a href='https://youtube.com/embed/?listType=search&list=Nymfo%20feat.%20Martyn%20What%27s%20Happening'>Play</a>
3/14/20,5 Stars (Epic),London Grammar,If You Wait (Calibre remix),<a href='https://youtube.com/embed/?listType=search&list=London%20Grammar%20If%20You%20Wait%20(Calibre%20remix)'>Play</a>
3/14/20,4 Stars (Massive),Chris Su,Together In The Night,<a href='https://youtube.com/embed/?listType=search&list=Chris%20Su%20Together%20In%20The%20Night'>Play</a>
3/13/20,3 Stars (Fresh),Calyx & TeeBee feat. Calibre,Strung Out (Calibre Remix) (Calibre Remix),<a href='https://youtube.com/embed/?listType=search&list=Calyx%20&%20TeeBee%20feat.%20Calibre%20Strung%20Out%20(Calibre%20Remix)%20(Calibre%20Remix)'>Play</a>
3/13/20,3 Stars (Fresh),"Michael Woods, Calyx & TeeBee, Ester Dean",We've Only Just Begun (Calyx & Teebee Remix),<a href='https://youtube.com/embed/?listType=search&list=Michael%20Woods%20%20Calyx%20&%20TeeBee%20%20Ester%20Dean%20We%27ve%20Only%20Just%20Begun%20(Calyx%20&%20Teebee%20Remix)'>Play</a>
3/13/20,5 Stars (Epic),Calyx & TeeBee,War Dub,<a href='https://youtube.com/embed/?listType=search&list=Calyx%20&%20TeeBee%20War%20Dub'>Play</a>
3/13/20,3 Stars (Fresh),Calyx & Teebee,Elevate This Sound (A-1 Cut),<a href='https://youtube.com/embed/?listType=search&list=Calyx%20&%20Teebee%20Elevate%20This%20Sound%20(A-1%20Cut)'>Play</a>
2/29/20,3 Stars (Fresh),Mosaic,These Games,<a href='https://youtube.com/embed/?listType=search&list=Mosaic%20These%20Games'>Play</a>
2/22/20,3 Stars (Fresh),The Vanguard Project,Think About,<a href='https://youtube.com/embed/?listType=search&list=The%20Vanguard%20Project%20Think%20About'>Play</a>
2/22/20,5 Stars (Epic),The Vanguard Project,The Unknown,<a href='https://youtube.com/embed/?listType=search&list=The%20Vanguard%20Project%20The%20Unknown'>Play</a>
2/22/20,4 Stars (Massive),The Vanguard Project,Home (feat. Phoebe Freya),<a href='https://youtube.com/embed/?listType=search&list=The%20Vanguard%20Project%20Home%20(feat.%20Phoebe%20Freya)'>Play</a>
2/17/20,3 Stars (Fresh),Monrroe feat. Jinadu,Horizon,<a href='https://youtube.com/embed/?listType=search&list=Monrroe%20feat.%20Jinadu%20Horizon'>Play</a>
2/17/20,5 Stars (Epic),The Vanguard Project,All This Time,<a href='https://youtube.com/embed/?listType=search&list=The%20Vanguard%20Project%20All%20This%20Time'>Play</a>
2/17/20,4 Stars (Massive),Drumcatcher,Always Mine,<a href='https://youtube.com/embed/?listType=search&list=Drumcatcher%20Always%20Mine'>Play</a>
2/2/20,3 Stars (Fresh),Keeno feat. Ellie Madison,I Wonder,<a href='https://youtube.com/embed/?listType=search&list=Keeno%20feat.%20Ellie%20Madison%20I%20Wonder'>Play</a>
2/2/20,4 Stars (Massive),Fracture,Bad Habit,<a href='https://youtube.com/embed/?listType=search&list=Fracture%20Bad%20Habit'>Play</a>
2/2/20,4 Stars (Massive),Grafix,Blue Dreams,<a href='https://youtube.com/embed/?listType=search&list=Grafix%20Blue%20Dreams'>Play</a>
2/2/20,4 Stars (Massive),Logistics,Sleeper Dub,<a href='https://youtube.com/embed/?listType=search&list=Logistics%20Sleeper%20Dub'>Play</a>
2/2/20,4 Stars (Massive),Sully,Flock,<a href='https://youtube.com/embed/?listType=search&list=Sully%20Flock'>Play</a>
1/25/20,5 Stars (Epic),Galactus Jack,100 (Bcee Remix),<a href='https://youtube.com/embed/?listType=search&list=Galactus%20Jack%20100%20(Bcee%20Remix)'>Play</a>
1/25/20,4 Stars (Massive),"Chimpo feat. DRS, Slay, Ragoloco",No Trust,<a href='https://youtube.com/embed/?listType=search&list=Chimpo%20feat.%20DRS%20%20Slay%20%20Ragoloco%20No%20Trust'>Play</a>
1/25/20,4 Stars (Massive),Khalid & Normani,Love Lies (Ownglow Bootleg),<a href='https://youtu.be/3nlAfaqILYE'>Play</a>
1/20/20,3 Stars (Fresh),Fracture,Bad Habit,<a href='https://youtube.com/embed/?listType=search&list=Fracture%20Bad%20Habit'>Play</a>
1/18/20,3 Stars (Fresh),NCT,The Summer We've Been Waiting For,<a href='https://youtube.com/embed/?listType=search&list=NCT%20The%20Summer%20We%27ve%20Been%20Waiting%20For'>Play</a>
1/18/20,3 Stars (Fresh),Unglued,Levitate Your Mind (feat. Degs),<a href='https://youtube.com/embed/?listType=search&list=Unglued%20Levitate%20Your%20Mind%20(feat.%20Degs)'>Play</a>
1/17/20,3 Stars (Fresh),LSB,The Hurting,<a href='https://youtube.com/embed/?listType=search&list=LSB%20The%20Hurting'>Play</a>
1/3/20,3 Stars (Fresh),Fishy & Peron,Mesmerizing Summer,<a href='https://youtube.com/embed/?listType=search&list=Fishy%20&%20Peron%20Mesmerizing%20Summer'>Play</a>
1/3/20,3 Stars (Fresh),KC,She Runs (Sikka Remix),<a href='https://youtube.com/embed/?listType=search&list=KC%20She%20Runs%20(Sikka%20Remix)'>Play</a>
1/3/20,3 Stars (Fresh),Matrix & Futurebound,Hindsight (Millbrook Remix),<a href='https://youtube.com/embed/?listType=search&list=Matrix%20&%20Futurebound%20Hindsight%20(Millbrook%20Remix)'>Play</a>
1/3/20,3 Stars (Fresh),Ray Keith,Stem Cell,<a href='https://youtube.com/embed/?listType=search&list=Ray%20Keith%20Stem%20Cell'>Play</a>
1/3/20,3 Stars (Fresh),"Villem, Mcleod feat. Leo Wood",Gifted Lover,<a href='https://youtube.com/embed/?listType=search&list=Villem%20%20Mcleod%20feat.%20Leo%20Wood%20Gifted%20Lover'>Play</a>
1/3/20,5 Stars (Epic),Exposure & Phaction feat. Mark Douglas,Elements,<a href='https://youtube.com/embed/?listType=search&list=Exposure%20&%20Phaction%20feat.%20Mark%20Douglas%20Elements'>Play</a>
1/3/20,4 Stars (Massive),Low:R,Singularity (feat. Carl Petros),<a href='https://youtube.com/embed/?listType=search&list=Low:R%20Singularity%20(feat.%20Carl%20Petros)'>Play</a>
1/3/20,4 Stars (Massive),Surreal,Checkmate,<a href='https://youtube.com/embed/?listType=search&list=Surreal%20Checkmate'>Play</a>
1/3/20,3 Stars (Fresh),Ray Keith,You're My Angel (Extended Club Mix),<a href='https://youtube.com/embed/?listType=search&list=Ray%20Keith%20You%27re%20My%20Angel%20(Extended%20Club%20Mix)'>Play</a>
12/21/19,3 Stars (Fresh),Enei feat. Charli Brix,Get Closer,<a href='https://youtube.com/embed/?listType=search&list=Enei%20feat.%20Charli%20Brix%20Get%20Closer'>Play</a>
12/14/19,3 Stars (Fresh),UK Apache & Shy FX,Original Nuttah,<a href='https://youtube.com/embed/?listType=search&list=UK%20Apache%20&%20Shy%20FX%20Original%20Nuttah'>Play</a>
12/14/19,4 Stars (Massive),BCee & Blu Mar Ten,Grow,<a href='https://youtube.com/embed/?listType=search&list=BCee%20&%20Blu%20Mar%20Ten%20Grow'>Play</a>
12/14/19,4 Stars (Massive),Skeptical & SP_MC,Smelly Button,<a href='https://youtube.com/embed/?listType=search&list=Skeptical%20&%20SP_MC%20Smelly%20Button'>Play</a>
12/13/19,4 Stars (Massive),Dawn Wall,I Should Have Been There,<a href='https://youtube.com/embed/?listType=search&list=Dawn%20Wall%20I%20Should%20Have%20Been%20There'>Play</a>
12/12/19,3 Stars (Fresh),Document One,Your Eyes,<a href='https://youtube.com/embed/?listType=search&list=Document%20One%20Your%20Eyes'>Play</a>
12/12/19,3 Stars (Fresh),"Hydro, War",At The End of The Day,<a href='https://youtube.com/embed/?listType=search&list=Hydro%20%20War%20At%20The%20End%20of%20The%20Day'>Play</a>
12/12/19,4 Stars (Massive),Manikin,Bumpy,<a href='https://youtube.com/embed/?listType=search&list=Manikin%20Bumpy'>Play</a>
12/12/19,4 Stars (Massive),S.P.Y feat. Diane Charlemagne,Dusty Fingers (MAILKY remix),<a href='https://youtube.com/embed/?listType=search&list=S.P.Y%20feat.%20Diane%20Charlemagne%20Dusty%20Fingers%20(MAILKY%20remix)'>Play</a>
12/12/19,3 Stars (Fresh),Camo & Krooked,If I Could (feat. Joe Killington),<a href='https://youtube.com/embed/?listType=search&list=Camo%20&%20Krooked%20If%20I%20Could%20(feat.%20Joe%20Killington)'>Play</a>
12/8/19,3 Stars (Fresh),Actraiser,City Lights,<a href='https://youtube.com/embed/?listType=search&list=Actraiser%20City%20Lights'>Play</a>
12/8/19,3 Stars (Fresh),BCee feat. Philippa Hanna,Back To The Street (BCee's Re-fix),<a href='https://youtube.com/embed/?listType=search&list=BCee%20feat.%20Philippa%20Hanna%20Back%20To%20The%20Street%20(BCee%27s%20Re-fix)'>Play</a>
12/8/19,3 Stars (Fresh),rOhmz,Fact Of The Matter,<a href='https://youtube.com/embed/?listType=search&list=rOhmz%20Fact%20Of%20The%20Matter'>Play</a>
12/8/19,5 Stars (Epic),Hybrid Minds & Fred V,Drowning In You (Extended Mix),<a href='https://youtube.com/embed/?listType=search&list=Hybrid%20Minds%20&%20Fred%20V%20Drowning%20In%20You%20(Extended%20Mix)'>Play</a>
12/8/19,5 Stars (Epic),Redeyes,Yesterdays,<a href='https://youtube.com/embed/?listType=search&list=Redeyes%20Yesterdays'>Play</a>
12/8/19,4 Stars (Massive),Actraiser,All Alone,<a href='https://youtube.com/embed/?listType=search&list=Actraiser%20All%20Alone'>Play</a>
12/8/19,4 Stars (Massive),Indivision & Livewire,Apologies (Grafix Remix),<a href='https://youtube.com/embed/?listType=search&list=Indivision%20&%20Livewire%20Apologies%20(Grafix%20Remix)'>Play</a>
12/8/19,4 Stars (Massive),Smote,Blu September,<a href='https://youtube.com/embed/?listType=search&list=Smote%20Blu%20September'>Play</a>
12/8/19,3 Stars (Fresh),Actraiser,Focal Point,<a href='https://youtube.com/embed/?listType=search&list=Actraiser%20Focal%20Point'>Play</a>
12/8/19,3 Stars (Fresh),Air.K & Cephei,Smile (feat. Edlan),<a href='https://youtube.com/embed/?listType=search&list=Air.K%20&%20Cephei%20Smile%20(feat.%20Edlan)'>Play</a>
10/26/19,3 Stars (Fresh),Dan Guidance,It's Getting Lonely,<a href='https://youtube.com/embed/?listType=search&list=Dan%20Guidance%20It%27s%20Getting%20Lonely'>Play</a>
10/26/19,3 Stars (Fresh),Dub Phizix,Dragnet,<a href='https://youtube.com/embed/?listType=search&list=Dub%20Phizix%20Dragnet'>Play</a>
10/26/19,3 Stars (Fresh),Ed_It,Empty Eyes,<a href='https://youtube.com/embed/?listType=search&list=Ed_It%20Empty%20Eyes'>Play</a>
10/26/19,3 Stars (Fresh),Monrroe feat. Emily Makis,Never Too Old,<a href='https://youtube.com/embed/?listType=search&list=Monrroe%20feat.%20Emily%20Makis%20Never%20Too%20Old'>Play</a>
10/26/19,4 Stars (Massive),Random Movement & Kasper,Bear With Me,<a href='https://youtube.com/embed/?listType=search&list=Random%20Movement%20&%20Kasper%20Bear%20With%20Me'>Play</a>
10/26/19,3 Stars (Fresh),London Elektricity,Don't Give Up Now (feat. Bulgarian Goddess),<a href='https://youtube.com/embed/?listType=search&list=London%20Elektricity%20Don%27t%20Give%20Up%20Now%20(feat.%20Bulgarian%20Goddess)'>Play</a>
10/26/19,5 Stars (Epic),Anile,Constant Reminder (feat. DRS),<a href='https://youtube.com/embed/?listType=search&list=Anile%20Constant%20Reminder%20(feat.%20DRS)'>Play</a>
10/6/19,4 Stars (Massive),Odyo,Broken (feat. Lea),<a href='https://youtube.com/embed/?listType=search&list=Odyo%20Broken%20(feat.%20Lea)'>Play</a>
9/28/19,4 Stars (Massive),BCee feat. Lucy Grimble,Cannot Escape Your Love,<a href='https://youtube.com/embed/?listType=search&list=BCee%20feat.%20Lucy%20Grimble%20Cannot%20Escape%20Your%20Love'>Play</a>
9/28/19,3 Stars (Fresh),Al_x,Velvet Like,<a href='https://youtube.com/embed/?listType=search&list=Al_x%20Velvet%20Like'>Play</a>
9/28/19,3 Stars (Fresh),Dan Guidance,Tracers,<a href='https://youtube.com/embed/?listType=search&list=Dan%20Guidance%20Tracers'>Play</a>
9/28/19,3 Stars (Fresh),Dilemma,Gone Too Soon feat. Robert Manos,<a href='https://youtube.com/embed/?listType=search&list=Dilemma%20Gone%20Too%20Soon%20feat.%20Robert%20Manos'>Play</a>
9/28/19,3 Stars (Fresh),"Hybrid Minds, Charlotte Haining",Higher Love,<a href='https://youtube.com/embed/?listType=search&list=Hybrid%20Minds%20%20Charlotte%20Haining%20Higher%20Love'>Play</a>
9/28/19,3 Stars (Fresh),"Hybrid Minds, Charlotte Haining feat. Bcee",Higher Love (Bcee Remix) (Bcee Remix),<a href='https://youtube.com/embed/?listType=search&list=Hybrid%20Minds%20%20Charlotte%20Haining%20feat.%20Bcee%20Higher%20Love%20(Bcee%20Remix)%20(Bcee%20Remix)'>Play</a>
9/28/19,3 Stars (Fresh),KC feat. Christina Tamayo,She Runs (Sikka Remix) (Sikka Remix),<a href='https://youtube.com/embed/?listType=search&list=KC%20feat.%20Christina%20Tamayo%20She%20Runs%20(Sikka%20Remix)%20(Sikka%20Remix)'>Play</a>
9/28/19,3 Stars (Fresh),Peshay & Sense,Tell Me,<a href='https://youtube.com/embed/?listType=search&list=Peshay%20&%20Sense%20Tell%20Me'>Play</a>
9/28/19,3 Stars (Fresh),"Seba, Paradox",Jupiterize,<a href='https://youtube.com/embed/?listType=search&list=Seba%20%20Paradox%20Jupiterize'>Play</a>
9/28/19,5 Stars (Epic),Top Cat,Ruffest Gun Ark (Chase & Status Remix),<a href='https://youtube.com/embed/?listType=search&list=Top%20Cat%20Ruffest%20Gun%20Ark%20(Chase%20&%20Status%20Remix)'>Play</a>
9/28/19,4 Stars (Massive),Bladerunner,All My Love,<a href='https://youtube.com/embed/?listType=search&list=Bladerunner%20All%20My%20Love'>Play</a>
9/28/19,4 Stars (Massive),Dan Guidance,Keep on Coming,<a href='https://youtube.com/embed/?listType=search&list=Dan%20Guidance%20Keep%20on%20Coming'>Play</a>
9/28/19,4 Stars (Massive),Ed:It,Broken Dawn,<a href='https://youtube.com/embed/?listType=search&list=Ed:It%20Broken%20Dawn'>Play</a>
9/28/19,4 Stars (Massive),Johnny Osbourne & Bladerunner,Night Fall Dub,<a href='https://youtube.com/embed/?listType=search&list=Johnny%20Osbourne%20&%20Bladerunner%20Night%20Fall%20Dub'>Play</a>
9/28/19,4 Stars (Massive),NClear & Electrosoul System,Thaw,<a href='https://youtube.com/embed/?listType=search&list=NClear%20&%20Electrosoul%20System%20Thaw'>Play</a>
9/28/19,4 Stars (Massive),Pola & Bryson,Cold Love,<a href='https://youtube.com/embed/?listType=search&list=Pola%20&%20Bryson%20Cold%20Love'>Play</a>
9/28/19,3 Stars (Fresh),Dan Guidance,My Biggest Fear,<a href='https://youtube.com/embed/?listType=search&list=Dan%20Guidance%20My%20Biggest%20Fear'>Play</a>
8/20/19,3 Stars (Fresh),"Hydro, War",At the End of the Day,<a href='https://youtube.com/embed/?listType=search&list=Hydro%20%20War%20At%20the%20End%20of%20the%20Day'>Play</a>
8/19/19,3 Stars (Fresh),Seba,In Your Arms Again,<a href='https://youtube.com/embed/?listType=search&list=Seba%20In%20Your%20Arms%20Again'>Play</a>
8/17/19,3 Stars (Fresh),Facing Jinx feat. maêv,Ocean Between Us,<a href='https://youtube.com/embed/?listType=search&list=Facing%20Jinx%20feat.%20maêv%20Ocean%20Between%20Us'>Play</a>
8/12/19,3 Stars (Fresh),Blu Mar Ten feat. Kite,Delirium (Conduct Remix) (Conduct Remix),<a href='https://youtube.com/embed/?listType=search&list=Blu%20Mar%20Ten%20feat.%20Kite%20Delirium%20(Conduct%20Remix)%20(Conduct%20Remix)'>Play</a>
